REGION,CA,REGION
PE                                                ,254235.6,PE
AM                                                ,24504.29,AM
RN                                                ,83702.24,RN
MG                                                ,1658526.45,MG
RO                                                ,46069.48,RO
MT                                                ,170476.14,MT
GO                                                ,316672.87,GO
CE                                                ,236570.94,CE
MS                                                ,122590.66,MS
SE                                                ,59012.95,SE
RS                                                ,796020.27,RS
PA                                                ,177996.62,PA
DF                                                ,290464.24,DF
MA                                                ,117191.17,MA
ES                                                ,270934.07,ES
PI                                                ,91887.92,PI
PR                                                ,730440.04,PR
SC                                                ,544674.72,SC
TO                                                ,52042.98,TO
AC                                                ,18335.84,AC
BA                                                ,530081.87,BA
PB                                                ,111328.05,PB
AL                                                ,80780.19,AL
RJ                                                ,1910852.92,RJ
AP                                                ,14985.93,AP
RR                                                ,7459.73,RR
SP                                                ,5489238.35,SP
