VILLE,CA,VILLE
sao paulo                                         ,2033550.97,sao paulo
rio de janeiro                                    ,1056995.82,rio de janeiro
belo horizonte                                    ,357490.85,belo horizonte
curitiba                                          ,226883.22,curitiba
porto alegre                                      ,202830.68,porto alegre
campinas                                          ,198440.24,campinas
salvador                                          ,189350.98,salvador
guarulhos                                         ,148439.23,guarulhos
brasilia                                          ,142060.06,brasilia
santos                                            ,110782.77,santos
brasília                                          ,108242.78,brasília
fortaleza                                         ,102983.19,fortaleza
recife                                            ,88698.9,recife
osasco                                            ,87078.16,osasco
sorocaba                                          ,78398.28,sorocaba
sao bernardo do campo                             ,74409.51,sao bernardo do campo
niteroi                                           ,72038.36,niteroi
jundiai                                           ,65679.02,jundiai
juiz de fora                                      ,65310.52,juiz de fora
campo grande                                      ,59619.41,campo grande
